title,brand,price,url,img,description,source,sold
Omega &#8220;Full-Set 310.30.42.50.01.002 Moonwatch&#8221; Speedmaster,Omega,9000,https://mentawatches.com/product/omega-full-set-310-30-42-50-01-002-moonwatch-speedmaster/,https://mentawatches.com/wp-content/uploads/2026/06/MODERN-49-scaled.jpg,"Offered here is an unworn example of the latest-generation Speedmaster Moonwatch, reference 310.30.42.50.01.002, originally sold in 2023. The watch itself is in outstanding condition, retaining its manufacturers stickers on the caseback and clasp. This example comes complete with its original Omega box, warranty card, and all accompanying accessories, exactly as sold new.",Menta Watches,False
Audemars Piguet &#8220;25679BA&#8221; Perpetual Calendar,Audemars Piguet,26000,https://mentawatches.com/product/audemars-piguet-25679ba-perpetual-calendar/,https://mentawatches.com/wp-content/uploads/2026/06/VINTAGE-15.jpg,"Offered here is a very cool 1990s Audemars Piguet Perpetual Calendar, reference 25679BA, in 18kt yellow gold. This is more uncommon mini-QP, coming in at 30mm, of which Audemars Piguet produced very few of. This particular Audemars Piguet Perpetual Calendar remains in great neo-vintage condition, with an unpolished case with strong hallmarks, and a perfect, blemish-free dial.",Menta Watches,False
Patek Philippe &#8220;3700/11J&#8221; Nautilus,Patek Philippe,215000,https://mentawatches.com/product/patek-philippe-3700-11j-nautilus/,https://mentawatches.com/wp-content/uploads/2026/04/VINTAGE-WEBSITE-17.jpg,"Offered here is a lovely example of a Patek Philippe Jumbo Nautilus, the Reference 3700/11J in solid 18kt yellow gold, circa 1982-1983. These watches have exploded in popularity as of late, and are considered by many to be the best design of Gerald Genta. Further, the present example is a desirable /11 reference, with a more tapered bracelet as compared to its /1 predecessor. This Patek Phillipe Nautilus is in great vintage condition. The case has been previously polished, but still shows nicely",Menta Watches,False
Patek Philippe &#8220;Art Deco 3406J&#8221; Square Watch,Patek Philippe,15000,https://mentawatches.com/product/patek-philippe-art-deco-3406j-square-watch/,https://mentawatches.com/wp-content/uploads/2026/04/VINTAGE-WEBSITE-31-scaled.jpg,"Offered here is a super funky and interesting Patek Philippe watch, given the reference 3406, and made in 18kt yellow gold. This particular watch was produced and sold in 1959 (according to the Extract of the Archives, which is included in the sale), and produced in a nicely sized 27mm x 38mm case with a cool Art-Deco-style applied indices dial. The watch itself remains in nice, unrestored condition, with a seemingly unpolished case with strong hallmarks, and original dial showing light patina/a",Menta Watches,False
Jacob &#038; Co. Astronomia Casino &#8220;Black Gold&#8221;,Other,350000,https://mentawatches.com/product/jacob-co-astronomia-casino-black-gold/,https://mentawatches.com/wp-content/uploads/2026/03/MODERN-87-scaled.jpg,"Offered here is an absolutely wild example of one of the most audacious watches ever produced — the Jacob & Co. Astronomia Casino Black. This is not a watch for the faint of heart. The Astronomia already features four rotating satellite arms carry an off-centred hours and minutes dial, a 288-facet 1-carat Jacob-cut diamond spinning on itself every 60 seconds, a magnesium Earth globe also rotating every 60 seconds, and a double-axis flying tourbillon completing its first axis in 60 seconds and it",Menta Watches,False
MB&#038;F Horological Machine HM7&#8243;AquaPod&#8221;,Other,127500,https://mentawatches.com/product/mbf-horological-machine-hm7aquapod/,https://mentawatches.com/wp-content/uploads/2026/03/MODERN-25-scaled.jpg,"Up for grabs is one of MB&Fs most unique creations, the Horological Machine N°7 AquaPod, in its rarest iteration — Platinum Red, limited to just 25 pieces worldwide. Inspired by the jellyfish, the AquaPod is built around a radially symmetric, concentric architecture with a 60-second flying tourbillon crowning the movement under a massive domed sapphire crystal. Powered by a solid titanium tentacle-like automatic winding rotor, with a red sapphire crystal unidirectional rotating bezel — the first",Menta Watches,False
MB&#038;F Legacy Machine Perpetual,Other,185000,https://mentawatches.com/product/mbf-legacy-machine-perpetual/,https://mentawatches.com/wp-content/uploads/2026/03/MODERN-10.jpg,"Offered here is MB&Fs flagship model of the Legacy Machine line the Legacy Machine perpetual calendar, that was done in collaboration with Irish independent watchmaker Stephen McDonnell. Visually, the LM Perpetual is unmistakable with its large, suspended balance wheel floating above the dial, with a striking perpetual calendar mechanism displayed in a three-dimensional layout. Originally launched in 2015, this watch at that time was MB&Fs most complicated model with 581 components. This particu",Menta Watches,False
Audemars Piguet &#8220;5034BA&#8221; Square Watch,Audemars Piguet,8850,https://mentawatches.com/product/audemars-piguet-5043ba-square-watch/,https://mentawatches.com/wp-content/uploads/2026/04/VINTAGE-15.jpg,"Up for grabs is a cool and rare Audemars Piguet square watch in yellow gold, given the reference 5034BA. This particular watch, according to an Extract of the Archives of Audemars Piguet, was produced in May of 1963. The condition of this quirky vintage Audemars Piguet is great, retaining a strong case with a crisp hallmark on the underside of the lugs, and a well-preserved dial, showing light wear over the years.",Menta Watches,False
Omega &#8220;145.022-69BA&#8221; Speedmaster,Omega,36500,https://mentawatches.com/product/omega-145-022-69ba-speedmaster/,https://mentawatches.com/wp-content/uploads/2026/04/VINTAGE-106.jpg,"Up for grabs is a 1969 Omega Speedmaster in 18kt yellow gold (reference 145.022-69BA). These yellow gold speedmasters were a limited production piece with only 1,014 watches ever produced. The first 32 watches were gifted to astronauts, politicians, and other personalities. The other examples were sold to the public and numbered the present example was numbered 902, and originally delivered to Mexico in 1970 according to an Extract from the Archives of Omega (included in the sale). This gold Ome",Menta Watches,False
Omega &#8220;Full-Set Tintin&#8221; Speedmaster,Omega,14500,https://mentawatches.com/product/omega-full-set-tintin-speedmaster/,https://mentawatches.com/wp-content/uploads/2026/02/VINTAGE-37-1.jpg,"While not quite vintage (yet), this 2015 Omega Speedmaster Tintin, so nicknamed for its color scheme and would-be collaboration with the famous comic The Adventures of Tintin, draws heavy inspiration from the racing-dial Speedmasters of the past. This particular Omega Speedmaster remains in nice used condition, showing light wear from use over the years. Further, it remains complete, with its original Omega Speedmaster box, Warranty Cards, and booklet.",Menta Watches,False
